T801;T801_REG_6031;559176;559176031;20200103;20200107
T801;T801_REG_6032;559176;559176032;20200103;20200107
T801;T801_REG_6033;559176;559176033;20200103;20200107
T801;T801_REG_6034;559176;559176034;20200103;20200107
T801;T801_REG_6035;559176;559176035;20200103;20200107
T801;T801_REG_6036;559176;559176036;20200103;20200107
T801;T801_REG_6037;559176;559176037;20200103;20200107
T801;T801_REG_6038;559176;559176038;20200103;20200107
T801;T801_REG_6039;559176;559176039;20200103;20200107
T801;T801_REG_6040;559176;559176040;20200103;20200107
